product_name,image_url,url,price
Averies,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cb69b42234af.jpg",https://www.glassesshop.com/eyeglasses/fp1828,$19.95
Genevieve,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201810/5bbc509cca408.jpg",https://www.glassesshop.com/eyeglasses/fz1269,$34.95
Winchester,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201809/5bac31dd12811.jpg",https://www.glassesshop.com/eyeglasses/fp1770,$19.95
Murphy,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201807/5b5fc22e9933f.jpg",https://www.glassesshop.com/eyeglasses/fp1747,$39.95
Burke,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5b05174513cea.jpg",https://www.glassesshop.com/eyeglasses/fm1243,$24.95
Jean,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5b03bc6e7b94e.jpg",https://www.glassesshop.com/eyeglasses/fp1717,$24.95
Isaiah,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/5db26823a6070.jpg",https://www.glassesshop.com/eyeglasses/fp1642,$19.95
Cooksville,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202005/5eb91ac41a1bc.jpg",https://www.glassesshop.com/eyeglasses/fp1568,$24.95
Prince,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202005/5eb91ab52f793.jpg",https://www.glassesshop.com/eyeglasses/fp1438,$19.95
Mandy,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201710/59e01c443bff6.jpg",https://www.glassesshop.com/eyeglasses/fz1087,$29.95
Nicole,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201710/59e01c2604ce3.jpg",https://www.glassesshop.com/eyeglasses/fz1083,$19.95
Miami,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201704/58f85d7927324.jpg",https://www.glassesshop.com/eyeglasses/fz0981,$29.95
Hyannis,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201710/59e55c87434bb.jpg",https://www.glassesshop.com/eyeglasses/fp1112,$29.95
Prairie,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202005/5eb913470af6b.jpg",https://www.glassesshop.com/eyeglasses/fz1461,$34.95
Taurus,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202006/5ef9605206e7c.jpg",https://www.glassesshop.com/eyeglasses/fp2071,$24.95
Annabelle,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202005/5eb8b58e68ce6.jpg",https://www.glassesshop.com/eyeglasses/fp2086,$24.95
Irvine,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202005/5eb8b52f69594.jpg",https://www.glassesshop.com/eyeglasses/fp2072,$24.95
Hughes,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201901/5c34038810a7e.jpg",https://www.glassesshop.com/eyeglasses/ft0278,$44.95
Hearst,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201905/5cdccc2f0a37d.jpg",https://www.glassesshop.com/eyeglasses/ft0265,$64.95
Oberlin,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202004/5e914ace4f273.jpg",https://www.glassesshop.com/eyeglasses/fp2033,$19.95
Celia,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201906/5d03189638680.jpg",https://www.glassesshop.com/eyeglasses/fm1389,$19.95
Wilker,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cb69b5e59b5c.jpg",https://www.glassesshop.com/eyeglasses/sup0622,$29.95
Burke,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5b05174d38e7e.jpg",https://www.glassesshop.com/eyeglasses/fm1244,$24.95
Marlowe,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201907/5d268bd89da12.jpg",https://www.glassesshop.com/eyeglasses/sup0711,$19.95
Bronx,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/5d9ff988f285a.jpg",https://www.glassesshop.com/eyeglasses/fp1977,$12.95
Sudbury,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201703/58dcb60839138.jpg",https://www.glassesshop.com/eyeglasses/fp0611,$5.95
Libra,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43692687da0.jpg",https://www.glassesshop.com/eyeglasses/fp2047,$24.95
,,,
Dove,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201807/5b3dcff30c19c.jpg",https://www.glassesshop.com/eyeglasses/fp1727,$34.95
Joni,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202006/5eddf0b0da7ac.jpg",https://www.glassesshop.com/eyeglasses/fp2024,$29.95
Murphy,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201811/5bebc0387547c.jpg",https://www.glassesshop.com/eyeglasses/fp1746,$39.95
Bray,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201908/5d4d18f87ede5.jpg",https://www.glassesshop.com/eyeglasses/fp1922,$5.95
Fresno,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e377f634cb1c.jpg",https://www.glassesshop.com/eyeglasses/fp2036,$12.95
Labrador,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/5d9ff9d397b90.jpg",https://www.glassesshop.com/eyeglasses/fp1988,$12.95
Thomasville,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202005/5eb91abca5cd5.jpg",https://www.glassesshop.com/eyeglasses/fp1563,$24.95
Joni,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201911/5dd3994cc9705.jpg",https://www.glassesshop.com/eyeglasses/fp2023,$29.95
Spender,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cc806c8322f4.jpg",https://www.glassesshop.com/eyeglasses/sup0633,$19.95
Evansville,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201808/5b873cb01e9f7.jpg",https://www.glassesshop.com/eyeglasses/fp1364,$19.95
Joyce,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201712/5a2f93753d9d9.jpg",https://www.glassesshop.com/eyeglasses/fp1505,$12.95
Toledo,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/5da92c7eb9fb3.jpg",https://www.glassesshop.com/eyeglasses/fm1405,$24.95
Newark,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201903/5c99cd282b827.jpg",https://www.glassesshop.com/eyeglasses/fm1372,$24.95
Haywood,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201812/5c2436744bcc2.jpg",https://www.glassesshop.com/eyeglasses/fm1353,$29.95
Terre,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201703/58c7556ccda85.jpg",https://www.glassesshop.com/eyeglasses/rm0247,$32.95
Gaskell,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201811/5be91fb066b41.jpg",https://www.glassesshop.com/eyeglasses/sup0568,$29.95
Hyannis,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201708/5983fe65ed003.jpg",https://www.glassesshop.com/eyeglasses/fp1110,$29.95
Oberlin,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202004/5e914ad60c331.jpg",https://www.glassesshop.com/eyeglasses/fp2034,$19.95
Haggai,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202005/5ecb7f0658107.jpg",https://www.glassesshop.com/eyeglasses/fp1775,$24.95
Jean,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202001/5e23b621cdd27.jpg",https://www.glassesshop.com/eyeglasses/fp1718,$19.95
Butler,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cb69b51374f0.jpg",https://www.glassesshop.com/eyeglasses/fp1843,$19.95
Burke,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5b0fae09bbb09.jpg",https://www.glassesshop.com/eyeglasses/fm1245,$24.95
Bray,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201908/5d4d18fc8b7fc.jpg",https://www.glassesshop.com/eyeglasses/fp1923,$12.95
Hume,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201901/5c3403881d955.jpg",https://www.glassesshop.com/eyeglasses/fz1298,$29.95
Horatio,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201812/5c2436850e3f4.jpg",https://www.glassesshop.com/eyeglasses/sm0874,$19.95
Hillsborough,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201808/5b873cb01adee.jpg",https://www.glassesshop.com/eyeglasses/fp0989,$19.95
Bronx,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/5d9ff98fb140d.jpg",https://www.glassesshop.com/eyeglasses/fp1978,$12.95
Trenton,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201611/58252d0bc746b.jpg",https://www.glassesshop.com/eyeglasses/fp1232,$19.95
Mika,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201905/5ccf966899ddb.jpg",https://www.glassesshop.com/eyeglasses/sup0652,$29.95
Belle,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201808/5b7e0ee2a1137.jpg",https://www.glassesshop.com/eyeglasses/fp1768,$19.95
Kelowna,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201710/59e4597b52b63.jpg",https://www.glassesshop.com/eyeglasses/fp1409,$19.95
Joni,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201911/5dd3995ac6aa2.jpg",https://www.glassesshop.com/eyeglasses/fp2025,$29.95
Lexingto,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5b03be967b506.jpg",https://www.glassesshop.com/eyeglasses/fp1694,$19.95
Eleanor,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e4274e985cae.jpg",https://www.glassesshop.com/eyeglasses/fp1949,$12.95
Celia,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201906/5d03189634ede.jpg",https://www.glassesshop.com/eyeglasses/fm1388,$19.95
Yvette,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202001/5e0eb60c54fcf.jpg",https://www.glassesshop.com/eyeglasses/sup0782,$29.95
Buckeye,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201811/5bff5bf27139c.jpg",https://www.glassesshop.com/eyeglasses/fz1094,$29.95
Brunswick,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5af13c7ed9208.jpg",https://www.glassesshop.com/eyeglasses/fm1017,$29.95
Springfield,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/5da92c9b54c80.jpg",https://www.glassesshop.com/eyeglasses/fm1409,$24.95
Heather,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202004/5e9d1d010a57b.jpg",https://www.glassesshop.com/eyeglasses/fp1704,$29.95
Iowa,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201707/595c863c38c17.jpg",https://www.glassesshop.com/eyeglasses/fz1015,$29.95
Watertown,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201903/5c99cd4244575.jpg",https://www.glassesshop.com/eyeglasses/fp1804,$19.95
Arlene,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5ca2bda91b3a0.jpg",https://www.glassesshop.com/eyeglasses/fp1763,$24.95
Darcy,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201811/5bff5bf283882.jpg",https://www.glassesshop.com/eyeglasses/sm0787,$19.95
Evanston,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202004/5e93cda241579.jpg",https://www.glassesshop.com/eyeglasses/sup0791,$29.95
Virgo,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e4367005ae53.jpg",https://www.glassesshop.com/eyeglasses/fm1433,$29.95
Willie,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201810/5bbc51096d6bb.jpg",https://www.glassesshop.com/eyeglasses/sm0860,$19.95
Arlene,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201808/5b7e0ee291eff.jpg",https://www.glassesshop.com/eyeglasses/fp1762,$24.95
Angel  Wayframe,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5afe7ea43b647.jpg",https://www.glassesshop.com/eyeglasses/fp1646,$19.95
Thomasville,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201803/5ab49500a3081.jpg",https://www.glassesshop.com/eyeglasses/fp1565,$24.95
Riverside,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201906/5d0318962569f.jpg",https://www.glassesshop.com/eyeglasses/fm1384,$19.95
Hume,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201901/5c340388202fb.jpg",https://www.glassesshop.com/eyeglasses/fz1299,$29.95
Isaiah,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5afe7e919eb7f.jpg",https://www.glassesshop.com/eyeglasses/fp1644,$19.95
Kerlins,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201905/5ccf9668d1b8c.jpg",https://www.glassesshop.com/eyeglasses/sup0658,$29.95
Averies,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cb69b422b034.jpg",https://www.glassesshop.com/eyeglasses/fp1829,$19.95
Wilker,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cb69b5e619ad.jpg",https://www.glassesshop.com/eyeglasses/sup0624,$29.95
Whittier,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201906/5cf8ca4e9765e.jpg",https://www.glassesshop.com/eyeglasses/fz1313,$29.95
Omar,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201807/5b4c4d6c9cb81.jpg",https://www.glassesshop.com/eyeglasses/fm1269,$19.95
Thomasville,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201803/5ab494f934f90.jpg",https://www.glassesshop.com/eyeglasses/fp1564,$24.95
,,,
Mile,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202004/5e93cdfbb63f5.jpg",https://www.glassesshop.com/eyeglasses/sup0827,$29.95
Acacia,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/5db00f2ee8d49.jpg",https://www.glassesshop.com/eyeglasses/fp1944,$19.95
Lexingto,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5b03be9da29e0.jpg",https://www.glassesshop.com/eyeglasses/fp1695,$19.95
Rochester,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201906/5cff0f5a59b35.jpg",https://www.glassesshop.com/eyeglasses/fm1383,$29.95
Ezekiel,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201810/5bbc50f665fff.jpg",https://www.glassesshop.com/eyeglasses/fz1279,$29.95
Arlene,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201808/5b7e0ee2975f3.jpg",https://www.glassesshop.com/eyeglasses/fp1764,$24.95
Omar,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201807/5b4c4d7b98167.jpg",https://www.glassesshop.com/eyeglasses/fm1271,$19.95
Dove,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201807/5b3dcfeb7bc2f.jpg",https://www.glassesshop.com/eyeglasses/fp1726,$34.95
Mandy,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201710/59e01c51ef38a.jpg",https://www.glassesshop.com/eyeglasses/fz1089,$29.95
Meroy,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e377f31c1279.jpg",https://www.glassesshop.com/eyeglasses/fm1413,$24.95
